geonlp_id,entry_id,body,suffix,body_kana,suffix_kana,fullname,fullname_kana,hypernym,ne_class,latitude,longitude,state_code,city_code,種別,設置者,管理者,運用時間（開始）,運用時間（終了）,滑走路長さ,滑走路幅
"DEdhSr","sf1","長崎","空港/","ナガサキ","クウコウ/","長崎空港","ナガサキクウコウ","長崎県/大村市","航空施設/空港","32.916944","129.913611","42","42205","空港整備法に基づく第二種空港","1","1","0700","2200","3000","60"
"lAcaAu","sf2","北九州","空港/","キタキュウシュウ","クウコウ/","北九州空港","キタキュウシュウクウコウ","福岡県/北九州市/小倉南区","航空施設/空港","33.845556","131.035","40","40107","空港整備法に基づく第二種空港","1","1","0000","2400","2500","60"
"3wb3ix","sf3","百里","飛行場/","ヒャクリ","ヒコウジョウ/","百里飛行場","ヒャクリヒコウジョウ","茨城県/小美玉市","航空施設/空港","36.181111","140.415556","08","08236","自衛隊、米軍との共用飛行場","2","2","0930","2100","2700","45"
"Ls9W0A","sf4","隠岐","空港/","オキ","クウコウ/","隠岐空港","オキクウコウ","島根県/隠岐郡/隠岐の島町","航空施設/空港","36.178333","133.323333","32","32528","空港整備法に基づく第三種空港","5","5","0900","1700","2000","45"
"to8OID","sf5","大阪","国際空港/","オオサカ","コクサイクウコウ/","大阪国際空港","オオサカコクサイクウコウ","大阪府/豊中市","航空施設/空港","34.784444","135.439167","27","27203","空港整備法に基づく第一種空港","1","1","0700","2100","3000","60"
"bk7HqG","sf6","礼文","空港/","レブン","クウコウ/","礼文空港","レブンクウコウ","北海道/礼文郡/礼文町","航空施設/空港","45.455","141.039167","01","01517","空港整備法に基づく第三種空港","5","5","0900","1700","800","25"
"Tg6A8J","sf7","利尻","空港/","リシリ","クウコウ/","利尻空港","リシリクウコウ","北海道/利尻郡/利尻富士町","航空施設/空港","45.241944","141.1875","01","01519","空港整備法に基づく第三種空港","5","5","0900","1700","1800","45"
"Bc5sQM","sf8","帯広","空港/","オビヒロ","クウコウ/","帯広空港","オビヒロクウコウ","北海道/帯広市","航空施設/空港","42.733333","143.217222","01","01207","空港整備法に基づく第二種空港","1","6","0800","2100","2500","45"
"j84lyP","sf9","釧路","空港/","クシロ","クウコウ/","釧路空港","クシロクウコウ","北海道/釧路市","航空施設/空港","43.040833","144.193056","01","01206","空港整備法に基づく第二種空港","1","1","0800","2100","2500","45"
"143egS","sf10","中標津","空港/","ナカシベツ","クウコウ/","中標津空港","ナカシベツクウコウ","北海道/標津郡/中標津町","航空施設/空港","43.5775","144.96","01","01692","空港整備法に基づく第三種空港","5","5","0830","1830","2000","45"
"J026YV","sf11","女満別","空港/","メマンベツ","クウコウ/","女満別空港","メマンベツクウコウ","北海道/網走郡/大空町","航空施設/空港","43.880606","144.164053","01","01564","空港整備法に基づく第三種空港","5","5","0800","2100","2500","45"
