geonlp_id,entry_id,body,body_kana,ne_class,latitude,longitude,hypernym,標高,三角点名称,備考
"vLED0M","1","知床岳","シレトコダケ","山地","44.23583","145.27389","北海道/知床/阿寒","1254","知床岬","　"
"dHDvIP","2","硫黄山","イオウザン","山地","44.13333","145.16139","北海道/知床/阿寒","1562","硫黄山","　"
"VDCoqS","3","サシルイ岳","サシルイダケ","山地","44.09528","145.14361","北海道/知床/阿寒","1564","標高点","　"
"DzBh8V","4","知円別岳","チエンベツダケ","山地","44.12472","145.16861","北海道/知床/阿寒","1544","標高点","　"
"lvA9QY","5","羅臼岳","ラウスダケ","山地","44.07583","145.12222","北海道/知床/阿寒","1660","測定点","Ⅱ羅臼岳の北25m　Ｈ20三角点標高改訂に伴う標高改訂　"
"3rz2z1","6","遠音別岳","オンネベツダケ","山地","43.99333","145.01333","北海道/知床/阿寒","1330","遠音別岳","Ｈ20三角点標高改訂　"
"LnxVh4","7","海別岳","ウナベツダケ","山地","43.87694","144.87667","北海道/知床/阿寒","1419","海別岳","　"
"tjwNZ7","8","斜里岳","シャリダケ","山地","43.76556","144.71778","北海道/知床/阿寒","1547","標高点","　"
"bfvGHa","9","標津岳","シベツダケ","山地","43.66806","144.70500","北海道/知床/阿寒","1061","標高点","　"
"Tbuzpd","10","カムイヌプリ","カムイヌプリ","山地","43.57222","144.56083","北海道/知床/阿寒","857","標高点","　"
"B7ts7g","11","摩周岳","マシュウダケ","山地","43.57222","144.56083","北海道/知床/阿寒","857","標高点","'カムイヌプリ'の別名"
"j3skPj","12","藻琴山","モコトヤマ","山地","43.70444","144.33111","北海道/知床/阿寒","1000","藻琴山","　"
"0Zrdxm","13","アトサヌプリ","アトサヌプリ","山地","43.61028","144.43861","北海道/知床/阿寒","508","標高点","Ｈ13地形図改測に伴う標高改訂　"
"IVq6fp","14","硫黄山","イオウザン","山地","43.61028","144.43861","北海道/知床/阿寒","508","標高点","'アトサヌプリ'の別名"
"qRoYXs","15","雄阿寒岳","オアカンダケ","山地","43.45417","144.16472","北海道/知床/阿寒","1370","雄阿寒岳","　"
"8NnRFv","16","仁頃山","ニコロヤマ","山地","43.87833","143.71833","北海道/北見山地","829","似頃山","　"
"QJmKny","17","ポロヌプリ山","ポロヌプリザン","山地","44.96167","142.42028","北海道/北見山地","841","標高点","　"
"yFlD5B","18","鬱岳","ウツダケ","山地","44.29167","143.08250","北海道/北見山地","818","欝岳","　"
"gBkvNE","19","雌阿寒岳","メアカンダケ","山地","43.38639","144.00861","北海道/知床/阿寒","1499","標高点","　"
"YxjovH","20","阿寒富士","アカンフジ","山地/峰","43.37417","144.00639","北海道/知床/阿寒/雌阿寒岳","1476","阿寒富士","'雌阿寒岳'の峰"
"GtihdK","21","敏音知岳","ビンネシリダケ","山地","44.89306","142.23444","北海道/北見山地","703","浜峰尻","　"
"oph9VN","22","ウェンシリ岳","ウェンシリダケ","山地","44.22889","142.87639","北海道/北見山地","1142","察来岳","　"
"6lg2DQ","23","幌尻山","ポロシリヤマ","山地","45.16556","142.00861","北海道/宗谷丘陵","427","幌尻山","　"
"OheVlT","24","パンケ山","パンケザン","山地","44.85694","142.14972","北海道/宗谷丘陵","632","下沢岳","　"
"wddO3W","25","ピヤシリ山","ピヤシリヤマ","山地","44.43361","142.58417","北海道/北見山地","987","飛鏃岳","　"
"e9cGLZ","26","ウコタキヌプリ","ウコタキヌプリ","山地","43.20833","143.79750","北海道/白糠丘陵","747","標高点","　"
"W5bzu2","27","函岳","ハコダケ","山地","44.66583","142.41222","北海道/北見山地","1129","函岳","　"
"E1asc5","28","東三国山","ヒガシミクニヤマ","山地","43.50833","143.46361","北海道/石狩山地","1230","幌加美里","　"
"lX9kU8","29","北見富士","キタミフジ","山地","43.69361","143.29583","北海道/石狩山地","1291","三角山","　"
"3T8dCb","30","武利岳","ムリイダケ","山地","43.73306","143.17639","北海道/石狩山地","1876","無類山","　"
"LP76ke","31","喜登牛山","キトウシヤマ","山地","43.44778","143.45639","北海道/石狩山地","1312","鬼頭牛山","　"
