geonlp_id,entry_id,body,body_kana,hypernym,ne_class,latitude,longitude,県コード,水系コード,河川コード,区間種別
"Fqu055","010100000000","見森の沢川",,"北海道","河川湖沼/河川","43.8979876848665","141.612300231928","01","010000","0100000000","0"
"nmsSN8","010100010001","ウエンナイ川","ウエンナイガワ","北海道","河川湖沼/河川","45.3668999912943","141.690022394799","01","010001","0100010001","4"
"5irLvb","010100010002","一の沢川",,"北海道/ウエンナイ川","河川湖沼/河川","45.3840990920148","141.721165703715","01","010001","0100010002","4"
"NeqEde","010100010003","二の沢川",,"北海道/ウエンナイ川","河川湖沼/河川","45.381785546004","141.707099344872","01","010001","0100010003","4"
"vapwVh","010100020000","四の沢左沢川",,"北海道","河川湖沼/河川","45.3184399143154","141.962759220131","01","010002","0100020000","4"
"d6opDk","010100020001","声問川",,"北海道","河川湖沼/河川","45.2870258063461","141.806921004388","01","010002","0100020001","3"
"V2niln","010100020002","パンケシュプナイ川","パンケシュプナイガワ","北海道/声問川","河川湖沼/河川","45.3144013142265","141.831594136714","01","010002","0100020002","4"
"CYmb3q","010100020003","タツニウシュナイ川","タツニウシュナイガワ","北海道","河川湖沼/河川","45.3037350876292","141.946485878563","01","010002","0100020003","4"
"kUl3Lt","010100020004","炭焼の沢川",,"北海道/声問川","河川湖沼/河川","45.2185988490939","141.880947666152","01","010002","0100020004","4"
"2QjWtw","010100030000","メグマ川","メグマガワ","北海道","河川湖沼/河川","45.4126116455693","141.831814646597","01","010003","0100030000","4"
"KMiPbz","010100030001","増幌川",,"北海道","河川湖沼/河川","45.4347244216729","141.860903822151","01","010003","0100030001","3"
"sIhHTC","010100030002","イチャンナイ川","イチャンナイガワ","北海道","河川湖沼/河川","45.400183027115","141.890981874193","01","010003","0100030002","4"
"aEgABF","010100030003","七線川",,"北海道","河川湖沼/河川","45.3904263624291","141.866831868723","01","010003","0100030003","4"
