geonlp_id,entry_id,body,body_kana,suffix,suffix_kana,hypernym,ne_class,latitude,longitude,railway_type,service_provider_type
"FOC724","eb03_1","二月田","ニガツデン","駅/","エキ/","九州旅客鉄道/指宿枕崎線","鉄道施設/鉄道駅","31.25432","130.6301","11","2"
"nKAZK7","eb03_2","古島","コジマ","駅/","エキ/","沖縄都市モノレール/沖縄都市モノレール線","鉄道施設/鉄道駅","26.23064","127.70294","23","5"
"5GzSsa","eb03_3","お台場海浜公園","オダイバカイヒンコウエン","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.629805","139.77853","24","5"
"NCyLad","eb03_4","船の科学館","フネノカガクカン","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.621575","139.773115","24","5"
"vyxDSg","eb03_5","テレコムセンター","テレコムセンター","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.617725","139.779665","24","5"
"duwwAj","eb03_6","汐留","シオドメ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.662985","139.760075","24","5"
"Vqvpim","eb03_7","台場","ダイバ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.62587","139.771375","24","5"
"Dmui0p","eb03_8","有明","アリアケ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.63455","139.79334","24","5"
"litaIs","eb03_9","国際展示場正門","コクサイテンジジョウセイモン","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.63021","139.7913","24","5"
"3es3qv","eb03_10","新橋","シンバシ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.6655833333333","139.759586666667","24","5"
"LaqW8y","eb03_11","竹芝","タケシバ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.654065","139.762015","24","5"
"t6pOQB","eb03_12","芝浦ふ頭","シバウラフトウ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.64222","139.75787","24","5"
"b2oHyE","eb03_13","日の出","ヒノデ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.64926","139.75916","24","5"
"SYnAgH","eb03_14","青海","アオミ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.6248","139.781315","24","5"
"AUmsYK","eb03_15","新豊洲","シントヨス","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.64871","139.790115","24","5"
"iQllGN","eb03_16","市場前","シジョウマエ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.64569","139.78565","24","5"
"0MkeoQ","eb03_17","有明テニスの森","アリアケテニスノモリ","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.63998","139.788895","24","5"
"IIj76T","eb03_18","豊洲","トヨス","駅/","エキ/","ゆりかもめ/東京臨海新交通臨海線","鉄道施設/鉄道駅","35.653705","139.795435","24","5"
"qEhZOW","eb03_19","新石切","シンイシキリ","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.6800966666667","135.641096666667","21","4"
"8AgSwZ","eb03_20","長田","ナガタ","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.678755","135.591965","21","4"
"QwfLf2","eb03_21","吉田","ヨシダ","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.680335","135.624515","21","4"
"yseDX5","eb03_22","荒本","アラモト","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.678625","135.60499","21","4"
"godwF8","eb03_23","生駒","イコマ","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.6931","135.698055","12","4"
"Ykcpnb","eb03_24","学研奈良登美ヶ丘","ガッケンナラトミオカ","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.726385","135.74916","12","4"
"Ggbi5e","eb03_25","白庭台","シラニワダイ","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.72103","135.71683","12","4"
"ocaaNh","eb03_26","学研北生駒","ガッケンキタイコマ","駅/","エキ/","近畿日本鉄道/けいはんな線","鉄道施設/鉄道駅","34.724845","135.72342","12","4"
"6893vk","eb03_27","ポートターミナル","ポートターミナル","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.681455","135.20222","16","5"
"O47Wdn","eb03_28","中埠頭","チュウフトウ","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.669285","135.21717","16","5"
"w06OVq","eb03_29","市民広場","シミンヒロバ","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.664905","135.21244","24","5"
"dW5HDt","eb03_30","貿易センター","ボウエキセンター","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.689365","135.19946","24","5"
"VS4Alw","eb03_31","三宮","サンノミヤ","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.69451","135.195295","24","5"
"DO3t3z","eb03_32","北埠頭","キタフトウ","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.673565","135.21451","16","5"
"lK2lLC","eb03_33","南公園","ミナミコウエン","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.66467","135.21707","16","5"
"3G1etF","eb03_34","みなとじま","ミナトジマ","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.669065","135.209995","24","5"
"LC07bI","eb03_35","中公園","ナカコウエン","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.673095","135.20752","16","5"
"txYZTL","eb03_36","医療センター","イリョウセンター","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.65852","135.21641","24","5"
"btXSBO","eb03_37","京コンピュータ前","キョウコンピュータマエ","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.65481","135.221535","24","5"
"TpWLjR","eb03_38","神戸空港","コウベクウコウ","駅/","エキ/","神戸新交通/ポートアイランド線","鉄道施設/鉄道駅","34.63735","135.228975","24","5"
"BlVE1U","eb03_39","岩瀬浜","イワセハマ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.76127","137.23411","21","5"
"jhUwJX","eb03_40","競輪場前","ケイリンジョウマエ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.75749","137.233945","21","5"
"1dTps0","eb03_41","東岩瀬","ヒガシイワセ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.751945","137.230505","21","5"
"J9Sia3","eb03_42","インテック本社前","インテックホンシャマエ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.703625","137.216415","12","5"
"r5RaS6","eb03_43","大広田","オオヒロタ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.74886","137.228665","21","5"
"91Q3A9","eb03_44","蓮町","ハスマチ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.742215","137.22759","21","5"
"QXOWic","eb03_45","犬島新町","イヌジマシンマチ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.735095","137.22663","21","5"
"yTNP0f","eb03_46","城川原","ジョウガワラ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.73113","137.2261","21","5"
"gPMHIi","eb03_47","越中中島","エッチュウナカジマ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.722195","137.224895","21","5"
"YLLAql","eb03_48","粟島（大阪屋ショップ前）","アワシマオオサカヤショップマエ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.719145","137.22482","21","5"
"GHKt8o","eb03_49","下奥井","シモオクイ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.71192","137.22459","21","5"
"oDJlQr","eb03_50","奥田中学校前","オクダチュウガッコウマエ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.70357","137.223605","21","5"
"6zIeyu","eb03_51","富山駅北","トヤマエキキタ","駅/","エキ/","富山ライトレール/富山港線","鉄道施設/鉄道駅","36.70256","137.21361","12","5"
"OvH7gx","eb03_52","盛岡","モリオカ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.701195","141.136375","12","5"
"wrFZYA","eb03_53","御堂","ミドウ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.00436","141.23705","12","5"
"enESGD","eb03_54","二戸","ニコ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.25983","141.285985","12","5"
"WjDLoG","eb03_55","小鳥谷","コズヤ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.1711166666667","141.307736666667","12","5"
"EfCE6J","eb03_56","渋民","シブタミ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.834745","141.15423","12","5"
"mbBwOM","eb03_57","斗米","トマイ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.2856066666667","141.290913333333","12","5"
"47ApwP","eb03_58","いわて沼宮内","イワテヌマミヤウチ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.96059","141.217075","12","5"
"M3zieS","eb03_59","厨川","クリヤガワ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.74408","141.12886","12","5"
"tZyaWV","eb03_60","岩手川口","イワテカワグチ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.9193133333333","141.199373333333","12","5"
"bVx3EY","eb03_61","一戸","イチコ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.210374","141.297388","12","5"
"TRvWn1","eb03_62","金田一温泉","キンタイチオンセン","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.3230975","141.3038325","12","5"
"BNuP54","eb03_63","滝沢","タキザワ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.799","141.149555","12","5"
"jJtHN7","eb03_64","小繋","コツナギ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.123105","141.26042","12","5"
"1FsAva","eb03_65","奥中山高原","オクナカヤマタカハラ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.066155","141.2285","12","5"
"JBrtdd","eb03_66","目時","メトキ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","40.35205","141.289575","12","5"
"rxqlVg","eb03_67","好摩","コウマ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.87416","141.173675","12","5"
"9tpeDj","eb03_68","青山","アオヤマ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.7246533333333","141.118296666667","12","5"
"Rpo7lm","eb03_69","巣子","スコ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.7834266666667","141.148646666667","12","5"
"zln03p","eb03_70","巣子","スコ","駅/","エキ/","アイジーアールいわて銀河鉄道/いわて銀河鉄道線","鉄道施設/鉄道駅","39.783375","141.1489","12","5"
