geonlp_id,entry_id,prefix,prefix_kana,body,body_kana,suffix,suffix_kana,ne_class,latitude,longitude
"GAgF41","100",,,"アイスランド","アイスランド","共和国/","キョウワコク/","国","64.14","-21.9"
"owfxM4","110",,,"アイルランド","アイルランド",,,"国","53.34","-6.27"
"6sequ7","120",,,"アゼルバイジャン","アゼルバイジャン","共和国/","キョウワコク/","国","40.38","49.89"
"Oodjca","130",,,"アフガニスタン","アフガニスタン","イスラム共和国/","イスラムキョウワコク/","国","34.53","69.17"
"wkcbUd","140",,,"アメリカ","アメリカ","合衆国/","ガッシュウコク/","国","38.88","-77.03"
"egb4Cg","150",,,"アラブ","アラブ","首長国連邦/","シュチョウコクレンポウ/","国","24.48","54.37"
"Wc9Xkj","160",,,"アルジェリア","アルジェリア","民主人民共和国/","ミンシュジンミンキョウワコク/","国","36.75","3.04"
"E88Q2m","170",,,"アルゼンチン","アルゼンチン","共和国/","キョウワコク/","国","-34.61","-58.42"
"m47IKp","180",,,"アルバニア","アルバニア","共和国/","キョウワコク/","国","41.33","19.83"
"406Bss","190",,,"アルメニア","アルメニア","共和国/","キョウワコク/","国","40.16","44.51"
"LW5uav","200",,,"アンゴラ","アンゴラ","共和国/","キョウワコク/","国","-8.81","13.24"
"tS4mSy","210",,,"アンティグア・バーブーダ","アンティグアバーブーダ",,,"国","17.12","-61.85"
"bO3fAB","220",,,"アンドラ","アンドラ","公国/","コウコク/","国","42.5","1.52"
"TK28iE","230",,,"イエメン","イエメン","共和国/","キョウワコク/","国","15.8","47.9"
"BG110H","240",,,"イギリス","イギリス",,,"国","51.5","-0.13"
"jBZTIK","250",,,"イスラエル","イスラエル","国/","コク/","国","31.77","35.23"
"1xYMqN","260",,,"イタリア","イタリア","共和国/","キョウワコク/","国","41.9","12.48"
"JtXF8Q","270",,,"イラク","イラク","共和国/","キョウワコク/","国","33.33","44.42"
"rpWxQT","280",,,"イラン","イラン","イスラム共和国/","イスラムキョウワコク/","国","35.7","51.42"
"9lVqyW","290",,,"インド","インド",,"インド","国","28.61","77.18"
"RhUjgZ","300",,,"インドネシア","インドネシア","共和国/","キョウワコク/","国","-6.21","106.85"
"zdTbZ2","310",,,"ウガンダ","ウガンダ","共和国/","キョウワコク/","国","0.31","32.57"
"h9S4H5","320",,,"ウクライナ","ウクライナ",,,"国","50.45","30.5"
"Z5QXp8","330",,,"ウズベキスタン","ウズベキスタン","共和国/","キョウワコク/","国","41.31","69.27"
"H1PQ7b","340",,,"ウルグアイ","ウルグアイ","東方共和国/","トウホウキョウワコク/","国","-34.89","-56.16"
"oXOIPe","350",,,"英国",,,,"国","51.5","-0.13"
"6TNBxh","360",,,"エクアドル","エクアドル","共和国/","キョウワコク/","国","-0.15","-78.35"
"OPMufk","370",,,"エジプト","エジプト","アラブ共和国/","アラブキョウワコク/","国","30.06","31.25"
"wLLmXn","380",,,"エストニア","エストニア","共和国/","キョウワコク/","国","59.43","24.73"
"eHKfFq","390",,,"エチオピア","エチオピア","連邦民主共和国/","レンポウミンシュキョウワコク/","国","9.02","38.75"
"WDJ8nt","400",,,"エリトリア","エリトリア","国","コク/","国","15.33","38.93"
"EzI15w","410",,,"エルサルバドル","エルサルバドル","共和国/","キョウワコク/","国","13.71","-89.2"
"mvGTNz","420",,,"オーストラリア","オーストラリア","連邦/","レンポウ/","国","-35.33","149.08"
"4rFMvC","430",,,"オーストリア","オーストリア","共和国/","キョウワコク/","国","48.2","16.36"
"MnEFdF","440",,,"オマーン","オマーン","国/","コク/","国","23.61","58.59"
"ujDxVI","450",,,"オランダ","オランダ","王国/","オウコク/","国","52.37","4.89"
"cfCqDL","460",,,"ガイアナ","ガイアナ","共和国/","キョウワコク/","国","6.8","-58.15"
"UbBjlO","470",,,"カザフスタン","カザフスタン","共和国/","キョウワコク/","国","51.18","71.45"
"C7Ac3R","480",,,"カタール","カタール","国/","コク/","国","25.28","51.52"
"k3z4LU","490",,,"ガーナ","ガーナ","共和国/","キョウワコク/","国","5.56","-0.2"
"1ZxXtX","500",,,"カナダ","カナダ",,"カナダ","国","45.42","-75.69"
"JVwQc0","510",,,"カーボヴェルデ","カーボベルデ","共和国/","キョウワコク/","国","14.92","-23.52"
"rRvIU3","520",,,"ガボン","ガボン","共和国/","キョウワコク/","国","0.39","9.45"
"9NuBC6","530",,,"カメルーン","カメルーン","共和国/","キョウワコク/","国","3.87","11.52"
"RJtuk9","540",,,"ガンビア","ガンビア","共和国/","キョウワコク/","国","13.45","-16.59"
"zFsn2c","550",,,"カンボジア","カンボジア","王国/","オウコク/","国","11.56","104.92"
"hBrfKf","560",,,"ギニア","ギニア","共和国/","キョウワコク/","国","9.54","-13.68"
"Zxq8si","570",,,"ギニアビサウ","ギニアビサウ","共和国/","キョウワコク/","国","11.86","-15.6"
"Htp1al","580",,,"キプロス","キプロス","共和国/","キョウワコク/","国","35.17","33.37"
"ppnTSo","590",,,"キューバ","キューバ","共和国/","キョウワコク/","国","23.12","-82.39"
"7lmMAr","600",,,"ギリシャ","ギリシャ","共和国/","キョウワコク/","国","37.98","23.72"
"PhlFiu","610",,,"キリバス","キリバス","共和国/","キョウワコク/","国","1.47","173.03"
"xdky0x","620",,,"キルギス","キルギス","共和国/","キョウワコク/","国","42.87","74.59"
"f9jqIA","630",,,"グアテマラ","グアテマラ","共和国/","キョウワコク/","国","14.63","-90.5"
"X5ijqD","640",,,"クウェート","クウェート","国/","コク/","国","29.66","47.55"
"F1hc8G","650",,,"クック","クック","諸島/","ショトウ/","国","-21.20","-159.77"
"mXg4QJ","660",,,"グルジア","グルジア",,,"国","41.71","44.79"
"4TeXyM","670",,,"グレナダ","グレナダ",,"グレナダ","国","12.07","-61.74"
